Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
Streetlight,254,Continuous,18.2257583492,25,PEP,359.803654299,405051.6487,1430148.1868,Tambaram
Streetlight,254,Continuous,17.679325328,25,PEP,359.803654299,404999.3243,1430172.4324,Tambaram
Streetlight,254,Continuous,17.6308401441,25,PEP,359.803654299,404990.084,1430177.5404,Tambaram
Streetlight,254,Continuous,17.2579540904,25,PEP,359.803654299,404978.1691,1430183.9752,Tambaram
Streetlight,254,Continuous,19.7532915662,25,PEP,359.803654299,405154.8352,1430156.7656,Tambaram
Streetlight,254,Continuous,19.34441651,25,PEP,359.803654299,405118.6722,1430170.4388,Tambaram
Streetlight,254,Continuous,19.3559129969,25,PEP,359.803654299,405137.4678,1430162.8987,Tambaram
Streetlight,254,Continuous,18.9156475331,25,PEP,359.803654299,405103.2743,1430177.0558,Tambaram
Streetlight,254,Continuous,18.7132093941,25,PEP,359.803654299,405081.2562,1430186.275,Tambaram
Streetlight,254,Continuous,18.2465519951,25,PEP,359.803654299,405057.443,1430195.9727,Tambaram
Streetlight,254,Continuous,18.0763040194,25,PEP,359.803654299,405038.2473,1430202.3681,Tambaram
Streetlight,254,Continuous,17.6315399302,25,PEP,359.803654299,405016.8921,1430210.9184,Tambaram
Streetlight,254,Continuous,17.6001495225,25,PEP,359.803654299,405000.6982,1430217.068,Tambaram
Streetlight,254,Continuous,13.5485875973,25,PEP,359.803654299,404627.1084,1430413.0686,Tambaram
Streetlight,254,Continuous,13.9603617675,25,PEP,359.803654299,404634.1673,1430420.2067,Tambaram
Streetlight,254,Continuous,14.136108063,25,PEP,359.803654299,404637.2009,1430411.3254,Tambaram
